id;trading_date;gtp;v_bid_so;t_min;p_max;change_load_down;change_load_up;trade_graph;p_unreg;v_sell_rsv;p_sell_rsv;v_buy_sdd;p_buy_sdd;korr_v
1;2019-01-01 00;GVIE0010;0,1;0;;0;0;0;1081,27;;;;;
2;2019-01-01 01;GVIE0010;0,1;0;;0;0;0;1078,0322;;;;;
3;2019-01-01 02;GVIE0010;0,1;0;0;0;0;0;1085,1674;;;;;
4;2019-01-01 03;GVIE0010;0,1;0;0;0;0;0;1079,3718;;;;;
5;2019-01-01 04;GVIE0010;0,1;0;0;0;0;0;1058,8585;;;;;
6;2019-01-01 05;GVIE0010;0,15;0;5;300;300;0,15;1068,8;0,15;1068,8;;;0,15
7;2019-01-01 06;GVIE0010;0,6;0;5;300;300;0,6;1087,8;0,6;1087,8;;;0,6
8;2019-01-01 07;GVIE0010;1,2;0;5;300;300;1,2;1097,43333;1,2;1097,43333;;;1,2
9;2019-01-01 08;GVIE0010;1,4;0;5;300;300;1,4;1092,15714;1,4;1092,15714;;;1,4
10;2019-01-01 09;GVIE0010;1,5;0;5;300;300;1,5;1085,28667;1,5;1085,28667;;;1,5
11;2019-01-01 10;GVIE0010;1,4;0;5;300;300;1,4;1101,62143;1,4;1101,62143;;;1,4
12;2019-01-01 11;GVIE0010;1;0;5;300;300;1;1107,42;1;1107,42;;;1
13;2019-01-01 12;GVIE0010;0,25;0;5;300;300;0,25;1141,56;0,25;1141,56;;;0,25
14;2019-01-01 13;GVIE0010;0,1;0;0;0;0;0;1199,2136;;;;;
15;2019-01-01 14;GVIE0010;0,1;0;0;0;0;0;1268,3035;;;;;
16;2019-01-01 15;GVIE0010;0,1;0;0;0;0;0;1286,5573;;;;;
17;2019-01-01 16;GVIE0010;0,1;0;0;0;0;0;1283,4327;;;;;
18;2019-01-01 17;GVIE0010;0,1;0;0;0;0;0;1271,8048;;;;;
19;2019-01-01 18;GVIE0010;0,1;0;0;0;0;0;1238,9231;;;;;
20;2019-01-01 19;GVIE0010;0,1;0;0;0;0;0;1199,3494;;;;;
21;2019-01-01 20;GVIE0010;0,1;0;0;0;0;0;1169,3136;;;;;
22;2019-01-01 21;GVIE0010;0,1;0;0;0;0;0;1152,3666;;;;;
23;2019-01-01 22;GVIE0010;0,1;0;0;0;0;0;1134,6089;;;;;
24;2019-01-01 23;GVIE0010;0,1;0;0;0;0;0;1067,928;;;;;
25;2019-01-01 00;GVIE0014;0,1;0;0;0;0;0;1039,8704;;;;;
26;2019-01-01 01;GVIE0014;0,1;0;0;0;0;0;1014,22;;;;;
27;2019-01-01 02;GVIE0014;0,1;0;0;0;0;0;1004,10284;;;;;
28;2019-01-01 03;GVIE0014;0,1;0;0;0;0;0;975,4378;;;;;
29;2019-01-01 04;GVIE0014;0,1;0;0;0;0;0;958,814;;;;;
30;2019-01-01 05;GVIE0014;0,1;0;0;0;0;0;956,48474;;;;;
31;2019-01-01 06;GVIE0014;0,1;0;0;0;0;0;968,3329;;;;;
32;2019-01-01 07;GVIE0014;0,1;0;0;0;0;0;980,99506;;;;;
33;2019-01-01 08;GVIE0014;0,25;0;5;300;300;0,25;985,64;0,25;985,64;;;0,25
34;2019-01-01 09;GVIE0014;0,35;0;5;300;300;0,35;991,11429;0,35;991,11429;;;0,35
35;2019-01-01 10;GVIE0014;0,7;0;5;300;300;0,7;1015,37143;0,7;1015,37143;;;0,7
36;2019-01-01 11;GVIE0014;0,7;0;5;300;300;0,7;1055,52857;0,7;1055,52857;;;0,7
37;2019-01-01 12;GVIE0014;0,6;0;5;300;300;0,6;1078,73333;0,6;1078,73333;;;0,6
38;2019-01-01 13;GVIE0014;0,55;0;5;300;300;0,55;1116,16364;0,55;1116,16364;;;0,55
39;2019-01-01 14;GVIE0014;0,15;0;5;300;300;0,15;1183,13333;0,15;1183,13333;;;0,15
40;2019-01-01 15;GVIE0014;0,1;0;0;0;0;0;1281,9227;;;;;
41;2019-01-01 16;GVIE0014;0,1;0;0;0;0;0;1314,226;;;;;
42;2019-01-01 17;GVIE0014;0,1;0;0;0;0;0;1315,3224;;;;;
43;2019-01-01 18;GVIE0014;0,1;0;0;0;0;0;1311,1461;;;;;
44;2019-01-01 19;GVIE0014;0,1;0;0;0;0;0;1304,4858;;;;;
45;2019-01-01 20;GVIE0014;0,1;0;0;0;0;0;1289,5599;;;;;
46;2019-01-01 21;GVIE0014;0,1;0;0;0;0;0;1268,357;;;;;
47;2019-01-01 22;GVIE0014;0,1;0;0;0;0;0;1242,6561;;;;;
48;2019-01-01 23;GVIE0014;0,1;0;0;0;0;0;1040,9686;;;;;
